,rundate,reporting_period,airline_name,aircraft_name,aircraft_km_passenger_x1000,aircraft_km_cargo_x1000,stage_flights_passenger,stage_flights_cargo,aircraft_hours_passenger,aircraft_hours_cargo,passengers_uplifted,seat_km_used_x1000,seat_km_available_x1000,aircraft_in_service_at_quarter_end,sum_of_hours_used_last_quarter,sum_of_hours_available_last_quarter
93,07/06/2022 15:54,202204,TITAN AIRWAYS LTD,AIRBUS A330 300,0,0,0,0,0.0,0.0,0,0,0,1,1304.3,2160
94,07/06/2022 15:54,202204,TITAN AIRWAYS LTD,BOEING 737 400,0,0,0,0,0.0,0.0,0,0,0,1,401.0,3024
95,07/06/2022 15:54,202204,TITAN AIRWAYS LTD,BOEING 757 200,0,0,0,0,0.0,0.0,0,0,0,2,336.5,4320
96,07/06/2022 15:54,202204,TUI AIRWAYS LTD,BOEING 737 8,3105,0,1061,0,4456.2,0.0,177847,527827,586814,14,9752.1,30000
97,07/06/2022 15:54,202204,TUI AIRWAYS LTD,BOEING 737 800,3880,0,1524,0,5743.4,0.0,253757,652887,733259,23,9707.7,50040
98,07/06/2022 15:54,202204,TUI AIRWAYS LTD,BOEING 767 300F,210,0,54,0,286.8,0.0,15099,58342,68767,2,803.6,5760
99,07/06/2022 15:54,202204,TUI AIRWAYS LTD,BOEING 787 8,2442,4,352,1,3005.8,7.0,78795,620088,732494,8,7963.7,17280
100,07/06/2022 15:54,202204,TUI AIRWAYS LTD,BOEING 787 9,1657,0,233,0,2037.4,0.0,69843,502846,571540,5,4765.0,9312
101,07/06/2022 15:54,202204,VIRGIN ATLANTIC AIRWAYS LTD,AIRBUS A330 200,0,0,0,0,0.0,0.0,0,0,0,1,0.0,3384
102,07/06/2022 15:54,202204,VIRGIN ATLANTIC AIRWAYS LTD,AIRBUS A330 300,2757,1,490,4,3661.9,5.0,83565,491070,733456,9,9927.6,19440
103,07/06/2022 15:54,202204,VIRGIN ATLANTIC AIRWAYS LTD,AIRBUS A350 1000,2679,0,395,0,3371.7,0.0,98363,673497,897446,8,9087.3,17280
104,07/06/2022 15:54,202204,VIRGIN ATLANTIC AIRWAYS LTD,BOEING 787 9,6070,39,874,6,7612.8,49.8,165972,1188371,1602485,17,19793.3,36720
105,07/06/2022 15:54,202204,VIRGIN ATLANTIC INTERNATIONAL,AIRBUS A330 300,322,0,62,0,419.6,0.0,9623,64185,85676,1,1281.2,2160
106,07/06/2022 15:54,202204,VOLUXIS LTD,BOMBARDIER BD700 1A10,0,0,0,0,0.0,0.0,0,0,0,0,59.3,360
107,07/06/2022 15:54,202204,VOLUXIS LTD,BOMBARDIER BD700 1A11,35,0,12,0,43.4,0.0,38,138,461,1,66.5,1800
108,07/06/2022 15:54,202204,VOLUXIS LTD,EMBRAER EMB505 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,0,1.3,1680
109,07/06/2022 15:54,202204,VOLUXIS LTD,HAWKER HAWKER 800 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,1,21.9,2520
110,07/06/2022 15:54,202204,WEST ATLANTIC UK LTD,ATR ATR72 200,0,47,0,168,0.0,167.6,0,0,0,3,427.4,5760
111,07/06/2022 15:54,202204,WEST ATLANTIC UK LTD,BOEING 737 300,0,61,0,126,0.0,139.7,0,0,0,4,512.7,12480
112,07/06/2022 15:54,202204,WEST ATLANTIC UK LTD,BOEING 737 400,0,102,0,249,0.0,247.4,0,0,0,6,836.7,12960
113,07/06/2022 15:54,202204,WEST ATLANTIC UK LTD,BOEING 737 800,0,33,0,73,0.0,77.8,0,0,0,1,307.4,2160
114,07/06/2022 15:54,202204,WIZZ AIR UK LTD,AIRBUS A320 200,0,0,0,0,0.0,0.0,0,0,0,3,2214.8,6480
115,07/06/2022 15:54,202204,WIZZ AIR UK LTD,AIRBUS A321 200,0,0,0,0,0.0,0.0,0,0,0,7,2530.0,15120
116,07/06/2022 15:54,202204,WIZZ AIR UK LTD,AIRBUS A321 200N,0,0,0,0,0.0,0.0,0,0,0,6,2663.7,9120
