,rundate,reporting_period,airline_name,aircraft_name,aircraft_km_passenger_x1000,aircraft_km_cargo_x1000,stage_flights_passenger,stage_flights_cargo,aircraft_hours_passenger,aircraft_hours_cargo,passengers_uplifted,seat_km_used_x1000,seat_km_available_x1000,aircraft_in_service_at_quarter_end,sum_of_hours_used_last_quarter,sum_of_hours_available_last_quarter
71,03/03/2022 22:54,202201,LOGANAIR LTD,EMBRAER EMB145 NO MASTER SERIES ASSIGNED,529,0,1145,0,1305.2,0.0,26047,12088,25919,13,6170.3,28704
72,03/03/2022 22:54,202201,LOGANAIR LTD,SAAB 340 NO MASTER SERIES ASSIGNED,171,0,723,0,615.1,0.0,7905,2463,5646,13,2438.8,28704
73,03/03/2022 22:54,202201,LONDON EXECUTIVE AVIATION LTD,BOMBARDIER BD700 1A10,32,0,15,0,42.2,0.0,54,98,482,1,230.6,2208
74,03/03/2022 22:54,202201,LONDON EXECUTIVE AVIATION LTD,BOMBARDIER BD700 1A11,0,0,0,0,0.0,0.0,0,0,0,1,73.1,2208
75,03/03/2022 22:54,202201,LONDON EXECUTIVE AVIATION LTD,BOMBARDIER BD700 2A12,65,0,13,0,76.1,0.0,45,258,1102,1,167.3,2208
76,03/03/2022 22:54,202201,LONDON EXECUTIVE AVIATION LTD,CANADAIR CL600 2B16 600,12,0,10,0,17.4,0.0,36,35,141,2,119.1,4416
77,03/03/2022 22:54,202201,LONDON EXECUTIVE AVIATION LTD,CESSNA 550 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,1,19.0,1080
78,03/03/2022 22:54,202201,LONDON EXECUTIVE AVIATION LTD,CESSNA 560 NO MASTER SERIES ASSIGNED,17,0,18,0,29.1,0.0,0,38,156,3,103.6,6624
79,03/03/2022 22:54,202201,LONDON EXECUTIVE AVIATION LTD,DASSAULT FALCON 2000 NO MASTER SERIES ASSIGNED,19,0,9,0,25.3,0.0,22,41,187,2,112.4,4416
80,03/03/2022 22:54,202201,LONDON EXECUTIVE AVIATION LTD,DASSAULT FALCON 7X NO MASTER SERIES ASSIGNED,18,0,5,0,21.1,0.0,22,71,269,2,111.1,4416
81,03/03/2022 22:54,202201,LONDON EXECUTIVE AVIATION LTD,EMBRAER EMB135 NO MASTER SERIES ASSIGNED,39,0,26,0,59.4,0.0,116,159,513,4,241.1,8832
82,03/03/2022 22:54,202201,LONDON EXECUTIVE AVIATION LTD,EMBRAER EMB505 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,1,8.8,2208
83,03/03/2022 22:54,202201,LONDON EXECUTIVE AVIATION LTD,GULFSTREAM GVII NO MASTER SERIES ASSIGNED,43,0,11,0,51.5,0.0,35,148,767,1,117.6,2208
84,03/03/2022 22:54,202201,RVL AVIATION LTD,BEECH 200 NO MASTER SERIES ASSIGNED,13,3,31,8,33.4,6.5,0,29,87,4,153.8,8832
85,03/03/2022 22:54,202201,RVL AVIATION LTD,CESSNA 404 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,2,0.0,4416
86,03/03/2022 22:54,202201,RVL AVIATION LTD,CESSNA F406 NO MASTER SERIES ASSIGNED,0,1,0,1,0.0,3.8,0,0,0,6,12.3,13248
87,03/03/2022 22:54,202201,RVL AVIATION LTD,SAAB 340 NO MASTER SERIES ASSIGNED,0,8,0,9,0.0,19.1,0,0,0,2,83.5,4416
