,rundate,reporting_period,airline_name,aircraft_name,aircraft_km_passenger_x1000,aircraft_km_cargo_x1000,stage_flights_passenger,stage_flights_cargo,aircraft_hours_passenger,aircraft_hours_cargo,passengers_uplifted,seat_km_used_x1000,seat_km_available_x1000,aircraft_in_service_at_quarter_end,sum_of_hours_used_last_quarter,sum_of_hours_available_last_quarter
29,23/05/2022 23:50,202203,CATREUS AOC LTD,CESSNA 560 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,1,61.1,2160
30,23/05/2022 23:50,202203,CATREUS AOC LTD,EMBRAER EMB505 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,1,0.0,2304
31,23/05/2022 23:50,202203,CONCIERGE U LTD,BOMBARDIER BD700 1A11,51,0,12,0,66.7,0.0,46,144,720,2,161.9,4320
32,23/05/2022 23:50,202203,CONCIERGE U LTD,DASSAULT FALCON 7X NO MASTER SERIES ASSIGNED,41,0,9,0,44.8,0.0,43,205,572,3,149.2,6480
33,23/05/2022 23:50,202203,CONCIERGE U LTD,GULFSTREAM GV NO MASTER SERIES ASSIGNED,50,0,12,0,63.4,0.0,82,281,703,2,241.8,4320
34,23/05/2022 23:50,202203,DHL AIR LTD,BOEING 757 200,0,250,0,269,0.0,471.3,0,0,0,5,2456.2,16656
35,23/05/2022 23:50,202203,DHL AIR LTD,BOEING 767 300F,0,1060,0,298,0.0,1435.1,0,0,0,5,4027.4,8784
36,23/05/2022 23:50,202203,DHL AIR LTD,BOEING 777 F,0,324,0,64,0.0,407.7,0,0,0,1,587.2,1248
37,23/05/2022 23:50,202203,EASTERN AIRWAYS,ATR ATR72 200,81,0,214,0,211.3,0.0,7486,2929,6018,2,483.7,4320
38,23/05/2022 23:50,202203,EASTERN AIRWAYS,BAE JETSTREAM 4100 4100,53,0,160,0,136.6,0.0,2006,699,1543,13,443.9,19440
39,23/05/2022 23:50,202203,EASTERN AIRWAYS,EMBRAER ERJ190 100,11,0,24,0,20.7,0.0,972,471,1180,1,53.9,2160
40,23/05/2022 23:50,202203,EASYJET UK LTD,AIRBUS A319 100,3336,0,3877,0,6447.6,0.0,453821,389804,520483,62,13217.3,104472
41,23/05/2022 23:50,202203,EASYJET UK LTD,AIRBUS A320 200,7796,0,7188,0,13890.1,0.0,993888,1093832,1405212,60,30364.1,121152
42,23/05/2022 23:50,202203,EASYJET UK LTD,AIRBUS A320 200N,5882,0,3945,0,9605.4,0.0,549867,846913,1060317,32,23694.7,74208
43,23/05/2022 23:50,202203,EASYJET UK LTD,AIRBUS A321 200N,2112,0,1112,0,3283.9,0.0,194886,372374,496232,10,6824.3,21600
44,23/05/2022 23:50,202203,EUROPEAN CARGO LTD,AIRBUS A340 600,0,113,0,28,0.0,155.4,0,0,0,3,288.3,5664
45,23/05/2022 23:50,202203,EXECUTIVE JET CHARTER LTD,AGUSTA AW139 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,3,0.0,5568
46,23/05/2022 23:50,202203,EXECUTIVE JET CHARTER LTD,DASSAULT FALCON 2000 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,1,0.0,2160
47,23/05/2022 23:50,202203,EXECUTIVE JET CHARTER LTD,DASSAULT FALCON 7X NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,1,0.0,2160
48,23/05/2022 23:50,202203,EXECUTIVE JET CHARTER LTD,GULFSTREAM GIV NO MASTER SERIES ASSIGNED,12,0,6,0,16.8,0.0,10,24,168,1,24.2,2160
49,23/05/2022 23:50,202203,EXECUTIVE JET CHARTER LTD,GULFSTREAM GVI NO MASTER SERIES ASSIGNED,46,0,8,0,53.2,0.0,12,69,554,2,120.9,3432
50,23/05/2022 23:50,202203,GAMA AVIATION (UK) LTD,AIRBUS HELICOPTERS MBB BK117 C,0,0,0,0,0.0,0.0,0,0,0,3,0.0,6480
51,23/05/2022 23:50,202203,GAMA AVIATION (UK) LTD,BEECH 200 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,7,0.0,15120
52,23/05/2022 23:50,202203,GAMA AVIATION (UK) LTD,BOMBARDIER BD700 1A10,37,0,10,0,47.1,0.0,39,132,444,1,128.8,2160
